ID,Uid,age,sex,labor,repic_sid,best_weight,last_weight
443,444,31,女,轻,482:625:120:1:51:768:622:738:940:19:909:942:907:626:673:112:951:870:809:219:105,238.0:9.0:9.0:48.0:50.0:31.0:9.0:10.0:10.0:49.0:46.0:33.0:43.0:9.0:10.0:9.0:10.0:256.0:10.0:401.0:100.0,235.0:9.0:9.0:46.0:58.0:29.0:9.0:10.0:10.0:46.0:43.0:30.0:43.0:9.0:10.0:9.0:10.0:256.0:10.0:300.0:100.0
444,445,28,男,轻,960:643:911:447:32:112:8:74:127:685:697:116:929:909:502:680:901:887:885:192:809:830:97:102,32.0:9.0:10.0:125.0:13.0:9.0:66.0:73.0:9.0:10.0:10.0:9.0:10.0:37.0:224.0:10.0:75.0:14.0:212.0:403.0:10.0:35.0:11.0:91.0,31.0:9.0:10.0:125.0:9.0:9.0:62.0:77.0:9.0:10.0:10.0:9.0:10.0:36.0:224.0:10.0:73.0:17.0:209.0:403.0:10.0:35.0:10.0:90.0
445,446,34,男,重,882:810:12:908:809:533:1014:640:886:1:872:117:712:909:959:929:481:144:668:112:667:444:85:205:96,159.0:66.0:13.0:9.0:9.0:204.0:42.0:9.0:131.0:125.0:10.0:71.0:116.0:73.0:10.0:22.0:106.0:9.0:9.0:9.0:9.0:10.0:13.0:496.0:101.0,85.0:10.0:15.0:40.0:10.0:318.0:55.0:9.0:86.0:118.0:129.0:9.0:10.0:10.0:10.0:10.0:10.0:9.0:21.0:9.0:24.0:10.0:15.0:300.0:101.0
446,447,39,男,重,100:445:23:891:908:185:107:663:941:640:197:949:444:667:909:708:625:873:468:129:134:821,90.0:50.0:151.0:198.0:10.0:193.0:10.0:9.0:9.0:9.0:217.0:74.0:173.0:9.0:40.0:59.0:9.0:102.0:126.0:9.0:30.0:9.0,10.0:75.0:149.0:125.0:40.0:127.0:90.0:9.0:55.0:9.0:266.0:10.0:34.0:28.0:10.0:16.0:9.0:177.0:148.0:9.0:9.0:29.0
447,448,37,男,重,101:667:121:525:650:521:43:908:319:913:620:95:450:148:56:66:255:131:1034:696:953:707:248:925:94:816:880:881,21.0:10.0:9.0:177.0:9.0:162.0:77.0:10.0:261.0:10.0:9.0:31.0:9.0:9.0:37.0:37.0:80.0:9.0:18.0:10.0:23.0:45.0:70.0:30.0:50.0:10.0:145.0:156.0,80.0:10.0:9.0:115.0:9.0:217.0:86.0:10.0:239.0:25.0:9.0:10.0:10.0:9.0:32.0:32.0:84.0:9.0:60.0:10.0:10.0:45.0:127.0:15.0:10.0:10.0:144.0:157.0
448,449,28,男,重,238:929:235:286:922:911:15:11:123:130:104:813:833:646:501:870:872:787,9.0:75.0:311.0:178.0:35.0:15.0:119.0:19.0:9.0:61.0:152.0:84.0:147.0:155.0:200.0:290.0:10.0:67.0,51.0:49.0:417.0:10.0:41.0:10.0:10.0:141.0:10.0:10.0:101.0:10.0:55.0:15.0:350.0:289.0:11.0:10.0
449,450,32,男,重,463:694:450:870:880:914:908:447:123:871:115:120:909:669:668:819:826:95:942:9:2:197:622,10.0:9.0:10.0:218.0:54.0:9.0:39.0:330.0:9.0:27.0:9.0:9.0:9.0:9.0:42.0:9.0:9.0:101.0:57.0:110.0:41.0:299.0:9.0,179.0:10.0:10.0:183.0:37.0:10.0:10.0:161.0:9.0:81.0:9.0:9.0:30.0:10.0:35.0:10.0:10.0:101.0:40.0:75.0:76.0:299.0:9.0
450,451,27,男,中,667:740:573:48:639:212:245:444:627:25:476:196:71:620:99:958:919:909:921:150:831:838:899,10.0:38.0:45.0:11.0:8.0:209.0:96.0:132.0:9.0:104.0:46.0:106.0:35.0:9.0:100.0:49.0:28.0:10.0:10.0:9.0:10.0:10.0:199.0,9.0:21.0:213.0:47.0:9.0:104.0:10.0:10.0:9.0:60.0:67.0:231.0:44.0:9.0:98.0:40.0:10.0:30.0:10.0:9.0:10.0:10.0:223.0
451,452,32,男,重,155:109:251:930:641:48:944:209:809:173:810:460:908:14:450:1:819:910:149:929:676:888,9.0:102.0:15.0:10.0:9.0:36.0:47.0:403.0:45.0:9.0:10.0:101.0:40.0:97.0:249.0:19.0:10.0:10.0:9.0:10.0:10.0:302.0,9.0:100.0:15.0:10.0:9.0:36.0:46.0:394.0:44.0:9.0:10.0:101.0:40.0:95.0:249.0:19.0:10.0:10.0:9.0:10.0:10.0:301.0
452,453,38,女,中,143:803:1031:668:642:868:120:129:63:630:95:628:102:77:8:94:922:191:185:222:549:879,9.0:23.0:75.0:10.0:9.0:15.0:9.0:9.0:74.0:8.0:30.0:9.0:38.0:33.0:41.0:30.0:40.0:12.0:270.0:104.0:274.0:201.0,9.0:18.0:68.0:9.0:9.0:19.0:9.0:9.0:92.0:9.0:11.0:9.0:11.0:27.0:30.0:81.0:40.0:277.0:55.0:81.0:200.0:244.0
453,454,38,女,重,825:821:668:870:820:909:763:643:627:634:667:446:450:32:34:258:109:103:113:121:964,9.0:9.0:42.0:263.0:9.0:49.0:9.0:9.0:9.0:9.0:9.0:97.0:252.0:51.0:100.0:338.0:53.0:48.0:9.0:9.0:84.0,10.0:10.0:20.0:300.0:15.0:50.0:10.0:9.0:9.0:9.0:10.0:141.0:59.0:48.0:101.0:404.0:91.0:10.0:9.0:9.0:40.0
454,455,24,女,重,868:891:889:815:908:917:870:928:129:133:112:647:263:481:492:713:667:690:54:75:76:99:952,11.0:89.0:80.0:34.0:30.0:10.0:133.0:10.0:9.0:9.0:9.0:9.0:402.0:48.0:299.0:10.0:10.0:10.0:15.0:120.0:15.0:100.0:57.0,10.0:19.0:213.0:10.0:10.0:10.0:67.0:30.0:9.0:9.0:9.0:9.0:373.0:283.0:66.0:10.0:24.0:10.0:11.0:128.0:11.0:101.0:40.0
455,456,45,女,中,521:934:917:578:923:909:452:108:111:141:124:903:881:889:653:32:12:224:245:335:670:714:849,88.0:40.0:10.0:174.0:10.0:30.0:10.0:48.0:51.0:10.0:15.0:35.0:251.0:13.0:10.0:80.0:68.0:119.0:155.0:118.0:13.0:17.0:11.0,89.0:40.0:10.0:10.0:10.0:30.0:187.0:83.0:18.0:10.0:15.0:48.0:225.0:26.0:10.0:79.0:73.0:12.0:262.0:145.0:19.0:11.0:11.0
456,457,23,女,重,909:809:852:910:101:908:100:839:106:16:35:691:693:783:120:164:570:973:1056:930:633:187:185:314:906,10.0:10.0:9.0:22.0:19.0:10.0:61.0:19.0:19.0:103.0:47.0:11.0:10.0:10.0:15.0:10.0:217.0:9.0:62.0:9.0:10.0:258.0:36.0:133.0:156.0,20.0:10.0:10.0:10.0:33.0:10.0:36.0:10.0:32.0:115.0:35.0:23.0:10.0:10.0:15.0:10.0:200.0:10.0:55.0:10.0:9.0:64.0:282.0:79.0:189.0
457,458,36,男,重,871:870:479:909:188:967:929:521:310:908:928:243:640:32:30:824:154:144:121:94:776,140.0:160.0:75.0:9.0:94.0:117.0:17.0:269.0:224.0:90.0:9.0:180.0:99.0:95.0:56.0:37.0:9.0:9.0:174.0:100.0:204.0,11.0:289.0:10.0:10.0:226.0:10.0:49.0:341.0:143.0:30.0:10.0:58.0:9.0:9.0:143.0:42.0:9.0:9.0:9.0:100.0:10.0
458,459,31,男,轻,497:369:918:483:929:92:870:112:444:933:45:907:125:120:97:99:710:680:674:622:623:855:818,10.0:367.0:42.0:167.0:25.0:77.0:209.0:9.0:172.0:40.0:73.0:91.0:9.0:9.0:24.0:75.0:24.0:10.0:13.0:9.0:9.0:18.0:10.0,40.0:300.0:41.0:46.0:37.0:79.0:213.0:9.0:263.0:24.0:70.0:87.0:9.0:9.0:16.0:83.0:23.0:22.0:10.0:9.0:9.0:10.0:10.0
459,460,40,女,中,74:484:578:63:908:948:879:901:150:676:739:300:188:856:825:627:620:106,10.0:155.0:194.0:140.0:50.0:40.0:219.0:77.0:10.0:10.0:10.0:379.0:97.0:20.0:10.0:15.0:10.0:97.0,16.0:70.0:131.0:135.0:40.0:39.0:130.0:168.0:10.0:10.0:10.0:190.0:169.0:10.0:17.0:10.0:15.0:101.0
460,461,45,男,重,268:878:870:276:883:929:192:927:930:909:97:96:94:814:850:159:167:161:630:640:534:779:692:63,21.0:185.0:48.0:282.0:66.0:10.0:196.0:10.0:62.0:40.0:101.0:9.0:9.0:45.0:10.0:9.0:20.0:98.0:23.0:138.0:311.0:10.0:10.0:136.0,288.0:273.0:10.0:10.0:16.0:26.0:202.0:10.0:31.0:40.0:11.0:82.0:11.0:26.0:10.0:9.0:9.0:9.0:9.0:9.0:350.0:10.0:10.0:151.0
461,462,30,男,中,854:852:883:875:190:205:578:924:912:107:102:137:84:1:946:672:678:648:621,47.0:27.0:147.0:153.0:204.0:216.0:294.0:10.0:40.0:117.0:9.0:9.0:36.0:87.0:65.0:9.0:89.0:18.0:112.0,10.0:10.0:118.0:182.0:210.0:188.0:348.0:37.0:10.0:9.0:92.0:10.0:10.0:139.0:40.0:10.0:46.0:10.0:15.0
462,463,42,男,中,763:464:512:1013:675:622:811:31:95:638:870:871:92:458:1:636:125:143:131:927:325,10.0:259.0:28.0:53.0:10.0:69.0:47.0:10.0:101.0:116.0:107.0:193.0:128.0:62.0:10.0:9.0:21.0:9.0:9.0:50.0:450.0,10.0:10.0:10.0:40.0:52.0:9.0:10.0:10.0:101.0:9.0:288.0:10.0:131.0:330.0:10.0:9.0:9.0:9.0:9.0:50.0:427.0
463,464,32,男,重,777:74:704:929:33:738:930:948:637:625:850:113:161:102:95:507:917:228:354:878,10.0:43.0:35.0:33.0:107.0:10.0:9.0:31.0:9.0:9.0:10.0:9.0:9.0:10.0:90.0:292.0:39.0:279.0:94.0:229.0,23.0:70.0:10.0:37.0:79.0:31.0:10.0:10.0:9.0:9.0:10.0:9.0:9.0:24.0:76.0:200.0:39.0:372.0:21.0:299.0
464,465,42,男,重,48:195:338:98:95:300:96:924:915:677:875:885:449:931:116:112:156:638:637:839,121.0:93.0:170.0:10.0:52.0:183.0:67.0:17.0:23.0:19.0:37.0:263.0:350.0:73.0:9.0:9.0:156.0:49.0:43.0:56.0,150.0:10.0:481.0:10.0:80.0:10.0:10.0:40.0:10.0:14.0:290.0:9.0:219.0:40.0:9.0:9.0:9.0:9.0:9.0:49.0
465,466,40,男,重,908:521:608:95:462:104:94:1:932:935:848:622:160:213:195:317:891:670,39.0:170.0:70.0:80.0:47.0:9.0:9.0:151.0:55.0:10.0:44.0:9.0:26.0:45.0:223.0:176.0:298.0:10.0,39.0:271.0:10.0:9.0:29.0:9.0:80.0:150.0:49.0:10.0:40.0:10.0:25.0:39.0:156.0:178.0:300.0:10.0
466,467,28,男,轻,965:106:5:191:892:112:860:142:94:241:669:809:189:1:105:986:2:810:955:908:553:628,10.0:11.0:27.0:285.0:300.0:14.0:17.0:10.0:11.0:72.0:10.0:26.0:57.0:103.0:81.0:30.0:23.0:10.0:10.0:39.0:277.0:10.0,24.0:11.0:79.0:271.0:300.0:10.0:29.0:10.0:11.0:168.0:10.0:10.0:41.0:52.0:81.0:34.0:21.0:10.0:10.0:43.0:270.0:15.0
467,468,26,男,重,276:139:885:870:301:144:120:630:930:908:809:913:934:620:629:287:1021:681:703:445:103:96:80,247.0:70.0:197.0:102.0:10.0:88.0:9.0:91.0:32.0:103.0:9.0:9.0:68.0:63.0:109.0:243.0:9.0:61.0:9.0:344.0:86.0:15.0:149.0,13.0:9.0:149.0:151.0:180.0:9.0:9.0:9.0:24.0:35.0:9.0:10.0:10.0:9.0:9.0:240.0:32.0:9.0:54.0:350.0:91.0:9.0:151.0
468,469,29,女,重,653:919:910:97:477:521:104:534:627:94:620:929:162:126:891:872:31:731:842:831:199,9.0:10.0:32.0:16.0:10.0:165.0:66.0:89.0:9.0:16.0:9.0:39.0:9.0:9.0:118.0:182.0:150.0:55.0:10.0:10.0:446.0,9.0:37.0:13.0:10.0:10.0:208.0:10.0:127.0:9.0:80.0:9.0:40.0:9.0:9.0:75.0:226.0:150.0:30.0:10.0:34.0:416.0
469,470,36,女,中,871:911:908:887:450:463:870:912:622:178:35:3:1014:208:669:794:108:109:854:853,95.0:10.0:10.0:154.0:65.0:262.0:50.0:30.0:10.0:25.0:32.0:121.0:75.0:401.0:9.0:77.0:11.0:90.0:9.0:9.0,77.0:16.0:24.0:144.0:340.0:9.0:77.0:10.0:15.0:11.0:9.0:140.0:67.0:300.0:13.0:10.0:10.0:91.0:13.0:10.0
470,471,45,男,中,827:844:222:317:189:818:648:746:646:638:710:729:106:82:30:908:909:911:890:142:551:482:491:1031:942,10.0:10.0:139.0:10.0:351.0:10.0:9.0:15.0:9.0:9.0:10.0:10.0:101.0:140.0:11.0:10.0:10.0:30.0:236.0:9.0:172.0:36.0:140.0:68.0:9.0,23.0:10.0:16.0:259.0:106.0:10.0:9.0:10.0:9.0:9.0:10.0:10.0:101.0:132.0:18.0:10.0:30.0:10.0:299.0:9.0:106.0:44.0:50.0:14.0:26.0
471,472,31,女,轻,95:444:667:107:473:690:71:135:7:125:573:276:200:819:831:988:904:894:928:909:650,56.0:10.0:10.0:43.0:232.0:33.0:63.0:14.0:86.0:10.0:108.0:403.0:27.0:10.0:10.0:48.0:54.0:242.0:10.0:40.0:10.0,56.0:10.0:10.0:45.0:232.0:31.0:63.0:13.0:87.0:10.0:108.0:403.0:27.0:10.0:10.0:46.0:146.0:154.0:10.0:40.0:9.0
472,473,38,女,中,910:14:32:105:94:104:12:185:236:287:444:448:1022:690:699:751:125:820:648:629:872,39.0:16.0:75.0:31.0:23.0:49.0:60.0:277.0:9.0:234.0:10.0:340.0:40.0:46.0:9.0:35.0:31.0:9.0:115.0:9.0:298.0,49.0:10.0:128.0:80.0:10.0:10.0:10.0:210.0:121.0:91.0:187.0:158.0:39.0:10.0:10.0:37.0:10.0:10.0:15.0:10.0:302.0
473,474,19,女,重,41:869:891:48:101:3:870:871:919:908:979:948:120:155:112:694:385:639:477,76.0:32.0:24.0:12.0:102.0:64.0:216.0:60.0:10.0:39.0:35.0:10.0:9.0:9.0:9.0:36.0:351.0:9.0:294.0,78.0:32.0:30.0:10.0:101.0:62.0:230.0:40.0:10.0:39.0:35.0:10.0:9.0:9.0:9.0:36.0:351.0:9.0:294.0
474,475,31,男,中,634:908:69:113:626:1018:674:631:140:668:450:451:500:667:96:870:193:185:825,9.0:50.0:150.0:38.0:112.0:104.0:10.0:9.0:9.0:9.0:207.0:25.0:116.0:10.0:101.0:300.0:328.0:73.0:29.0,9.0:50.0:150.0:9.0:9.0:46.0:10.0:9.0:9.0:46.0:283.0:56.0:10.0:10.0:102.0:298.0:71.0:343.0:10.0
475,476,28,女,中,666:107:908:454:809:22:5:667:644:191:915:1:870:896:185:689:692:278:919:620:871:932:136,9.0:101.0:10.0:330.0:10.0:23.0:105.0:10.0:9.0:107.0:26.0:23.0:60.0:180.0:382.0:10.0:45.0:10.0:10.0:9.0:60.0:63.0:9.0,9.0:102.0:10.0:330.0:10.0:47.0:58.0:10.0:9.0:107.0:26.0:47.0:77.0:145.0:382.0:10.0:42.0:10.0:10.0:9.0:77.0:40.0:9.0
476,477,39,女,轻,452:74:455:94:901:4:199:11:521:836:119:909:841:221:95:112:695:870:714:699:908:899:216:832:1044:936:629:650,114.0:48.0:21.0:90.0:10.0:50.0:223.0:49.0:65.0:16.0:9.0:10.0:10.0:147.0:10.0:9.0:10.0:265.0:10.0:10.0:40.0:21.0:29.0:10.0:53.0:22.0:9.0:9.0,209.0:51.0:131.0:90.0:24.0:45.0:329.0:51.0:10.0:10.0:9.0:10.0:10.0:31.0:10.0:9.0:10.0:229.0:10.0:10.0:35.0:47.0:24.0:25.0:10.0:30.0:9.0:9.0
477,478,25,男,轻,311:823:954:667:134:668:104:444:109:314:908:213:533:482:840:642:641:926:661:112:909:73:899,251.0:10.0:40.0:10.0:9.0:10.0:83.0:9.0:16.0:40.0:30.0:120.0:9.0:331.0:14.0:9.0:9.0:10.0:8.0:9.0:10.0:150.0:173.0,251.0:10.0:39.0:10.0:9.0:9.0:90.0:10.0:10.0:40.0:30.0:120.0:10.0:331.0:14.0:9.0:9.0:10.0:9.0:9.0:10.0:149.0:181.0
478,479,21,男,中,951:923:961:656:18:914:637:668:1061:682:686:917:35:646:19:103:98:815:809:456:871:898:135:143:194:196,39.0:30.0:10.0:9.0:14.0:10.0:9.0:9.0:10.0:10.0:10.0:10.0:14.0:9.0:123.0:90.0:12.0:27.0:10.0:281.0:215.0:84.0:9.0:9.0:210.0:232.0,10.0:10.0:29.0:9.0:54.0:28.0:9.0:9.0:9.0:10.0:10.0:10.0:83.0:9.0:12.0:91.0:9.0:10.0:27.0:231.0:219.0:81.0:9.0:9.0:137.0:271.0
479,480,19,女,重,949:919:640:14:870:112:152:809:917:178:915:671:683:308:460:94,58.0:65.0:119.0:151.0:300.0:9.0:9.0:10.0:44.0:9.0:9.0:17.0:33.0:432.0:333.0:100.0,57.0:30.0:9.0:150.0:299.0:9.0:9.0:9.0:10.0:9.0:10.0:55.0:9.0:417.0:352.0:101.0
480,481,35,男,中,631:444:101:909:178:641:878:131:945:94:809:984:972:642:822:816:784:240:73,8.0:265.0:11.0:40.0:9.0:9.0:299.0:9.0:10.0:91.0:10.0:10.0:30.0:9.0:10.0:28.0:10.0:403.0:150.0,9.0:265.0:11.0:40.0:9.0:9.0:298.0:9.0:10.0:91.0:10.0:10.0:26.0:9.0:10.0:25.0:10.0:403.0:150.0
481,482,29,男,轻,838:667:228:875:872:763:445:94:444:120:870:98:447:117:178:49:945:1028:636:648:918,15.0:65.0:404.0:60.0:287.0:9.0:10.0:76.0:319.0:9.0:9.0:74.0:10.0:103.0:9.0:100.0:9.0:81.0:9.0:67.0:50.0,10.0:55.0:419.0:281.0:10.0:10.0:10.0:90.0:330.0:9.0:10.0:10.0:10.0:9.0:9.0:152.0:10.0:41.0:9.0:9.0:39.0
482,483,37,女,轻,200:706:108:132:94:820:311:741:112:96:711:810:220:809:119:471:926:909:872:931:32:637,317.0:10.0:15.0:9.0:15.0:25.0:117.0:10.0:9.0:73.0:10.0:10.0:20.0:10.0:9.0:316.0:40.0:10.0:300.0:67.0:150.0:10.0,317.0:10.0:14.0:9.0:14.0:25.0:117.0:10.0:9.0:72.0:10.0:10.0:20.0:10.0:9.0:316.0:40.0:9.0:300.0:39.0:150.0:10.0
483,484,38,女,轻,301:814:913:99:811:809:189:109:63:491:445:108:4:86:578:883:949:133:620:742,26.0:51.0:50.0:45.0:43.0:46.0:402.0:43.0:48.0:10.0:10.0:13.0:48.0:56.0:279.0:300.0:62.0:9.0:32.0:38.0,14.0:14.0:50.0:9.0:10.0:13.0:391.0:81.0:10.0:212.0:10.0:9.0:27.0:114.0:127.0:300.0:63.0:25.0:10.0:36.0
484,485,41,女,中,667:444:655:622:714:904:213:871:694:621:460:206:882:261:445:917:908:861:98:107:172:53:932,12.0:62.0:9.0:9.0:10.0:53.0:188.0:149.0:30.0:9.0:277.0:187.0:97.0:25.0:10.0:10.0:30.0:10.0:23.0:76.0:9.0:150.0:39.0,10.0:69.0:9.0:9.0:10.0:34.0:47.0:140.0:26.0:9.0:187.0:160.0:127.0:190.0:83.0:10.0:30.0:10.0:10.0:90.0:9.0:150.0:39.0
485,486,39,女,重,908:646:444:915:104:110:43:74:913:870:180:112:196:325:222:843:1031:946:679,56.0:9.0:316.0:39.0:10.0:123.0:60.0:58.0:9.0:300.0:22.0:140.0:238.0:119.0:142.0:48.0:65.0:10.0:24.0,30.0:10.0:351.0:10.0:10.0:92.0:10.0:138.0:10.0:301.0:10.0:15.0:156.0:11.0:226.0:54.0:10.0:43.0:10.0
486,487,32,男,轻,918:917:908:444:74:94:674:471:95:16:817:573:100:809:810:629:235:199:872:113:157:946:973,10.0:31.0:10.0:9.0:93.0:11.0:45.0:9.0:11.0:58.0:10.0:330.0:82.0:10.0:10.0:15.0:386.0:17.0:299.0:10.0:10.0:45.0:10.0,10.0:25.0:10.0:9.0:91.0:10.0:45.0:9.0:10.0:57.0:9.0:331.0:80.0:9.0:9.0:15.0:379.0:17.0:301.0:10.0:10.0:44.0:10.0
487,488,19,女,重,871:939:856:935:834:96:94:875:95:853:1:8:708:197:238:620:627:522:925:149:113:146,22.0:52.0:9.0:10.0:18.0:17.0:17.0:277.0:64.0:44.0:47.0:100.0:9.0:43.0:345.0:25.0:9.0:221.0:50.0:9.0:9.0:18.0,224.0:33.0:9.0:10.0:43.0:10.0:80.0:77.0:10.0:11.0:79.0:69.0:9.0:95.0:306.0:9.0:9.0:213.0:50.0:9.0:9.0:9.0
488,489,29,女,轻,639:924:243:909:822:875:930:632:464:486:467:810:908:95:870:102:809:94:881:765:123:178:75:3,9.0:30.0:361.0:10.0:59.0:79.0:64.0:9.0:57.0:282.0:10.0:9.0:10.0:43.0:42.0:47.0:9.0:13.0:180.0:31.0:9.0:30.0:109.0:42.0,9.0:10.0:407.0:10.0:10.0:9.0:40.0:9.0:211.0:76.0:62.0:23.0:30.0:10.0:34.0:80.0:10.0:10.0:256.0:10.0:9.0:9.0:92.0:57.0
489,490,38,女,重,138:96:10:815:178:738:910:702:821:40:863:908:873:886:911:694:629:1056:936:311:194:483,9.0:100.0:73.0:9.0:72.0:9.0:9.0:91.0:49.0:77.0:11.0:115.0:110.0:190.0:117.0:9.0:162.0:65.0:10.0:184.0:223.0:200.0,10.0:101.0:10.0:10.0:15.0:10.0:9.0:10.0:25.0:142.0:10.0:9.0:281.0:17.0:30.0:10.0:10.0:57.0:17.0:50.0:333.0:350.0
490,491,35,女,重,738:872:521:625:1010:929:113:746:646:620:930:112:178:204:195:909:920:66:814:94,10.0:300.0:274.0:9.0:9.0:9.0:9.0:10.0:57.0:20.0:71.0:9.0:47.0:165.0:135.0:76.0:27.0:150.0:53.0:101.0,40.0:302.0:275.0:9.0:55.0:10.0:9.0:15.0:9.0:9.0:10.0:9.0:9.0:322.0:73.0:40.0:10.0:151.0:10.0:101.0
491,492,33,男,重,47:134:23:908:114:909:63:113:463:556:521:223:622:627:108:102:941:976:682:880:839,51.0:9.0:37.0:10.0:9.0:39.0:63.0:9.0:10.0:71.0:186.0:444.0:9.0:14.0:53.0:48.0:62.0:10.0:10.0:300.0:41.0,48.0:9.0:48.0:25.0:9.0:24.0:52.0:9.0:10.0:217.0:109.0:300.0:9.0:9.0:11.0:88.0:22.0:19.0:16.0:299.0:25.0
492,493,23,女,轻,671:914:647:95:964:622:94:689:810:945:916:938:12:118:113:104:709:463:18:809:477:48:112:537:186:361:897,9.0:28.0:9.0:69.0:11.0:9.0:20.0:35.0:10.0:10.0:12.0:25.0:62.0:9.0:9.0:10.0:10.0:10.0:32.0:10.0:330.0:54.0:9.0:10.0:45.0:357.0:273.0,10.0:28.0:9.0:10.0:28.0:9.0:80.0:10.0:10.0:21.0:12.0:10.0:59.0:9.0:9.0:10.0:10.0:14.0:39.0:15.0:265.0:51.0:9.0:69.0:395.0:37.0:297.0
493,494,26,男,重,872:196:468:929:120:930:104:521:944:114:1:871:113:908:909:195:615:74:817:821:637:698:715,219.0:295.0:72.0:9.0:9.0:76.0:100.0:192.0:116.0:31.0:80.0:81.0:31.0:10.0:40.0:89.0:37.0:69.0:84.0:86.0:62.0:42.0:36.0,29.0:450.0:10.0:39.0:9.0:10.0:100.0:245.0:10.0:9.0:23.0:272.0:9.0:38.0:12.0:50.0:93.0:127.0:45.0:10.0:9.0:10.0:10.0
494,495,31,女,轻,930:300:225:448:94:276:561:942:107:106:867:4:9:120:926:920:698:683:767:620:628:884,55.0:295.0:95.0:150.0:10.0:10.0:140.0:10.0:81.0:10.0:39.0:72.0:78.0:15.0:40.0:9.0:10.0:10.0:10.0:10.0:10.0:300.0,51.0:10.0:302.0:64.0:9.0:96.0:276.0:10.0:9.0:81.0:36.0:73.0:75.0:15.0:40.0:9.0:10.0:10.0:10.0:10.0:10.0:300.0
495,496,33,女,轻,643:622:949:97:913:812:680:99:311:1:870:5:185:857:820:387:106:135:179:505,9.0:9.0:61.0:86.0:50.0:20.0:9.0:19.0:57.0:84.0:300.0:32.0:20.0:66.0:9.0:324.0:29.0:9.0:23.0:248.0,9.0:9.0:41.0:10.0:50.0:38.0:14.0:80.0:10.0:84.0:300.0:64.0:243.0:10.0:10.0:194.0:10.0:9.0:9.0:348.0
496,497,44,男,中,52:605:447:67:673:914:106:189:623:652:948:825:832:871:117,10.0:50.0:157.0:113.0:41.0:50.0:142.0:417.0:27.0:9.0:59.0:10.0:10.0:300.0:147.0,139.0:12.0:338.0:10.0:55.0:44.0:102.0:500.0:10.0:10.0:40.0:9.0:9.0:300.0:15.0
497,498,26,男,轻,912:650:870:882:447:874:469:660:625:599:908:916:76:16:1003:992:951:185:118:109:96:847:820:690:673,10.0:32.0:169.0:85.0:81.0:46.0:259.0:41.0:32.0:10.0:10.0:27.0:138.0:10.0:67.0:9.0:9.0:472.0:95.0:65.0:37.0:9.0:9.0:9.0:73.0,10.0:9.0:10.0:30.0:9.0:259.0:330.0:9.0:9.0:9.0:28.0:9.0:10.0:141.0:10.0:10.0:21.0:413.0:9.0:90.0:10.0:9.0:9.0:9.0:47.0
498,499,24,男,中,653:945:121:97:27:680:738:901:870:92:809:225:929:815:482:897:932:816:911,21.0:10.0:10.0:101.0:15.0:10.0:10.0:150.0:124.0:137.0:10.0:375.0:10.0:16.0:310.0:27.0:21.0:19.0:40.0,19.0:10.0:10.0:101.0:15.0:10.0:16.0:150.0:113.0:135.0:10.0:336.0:20.0:11.0:350.0:35.0:10.0:10.0:40.0
499,500,18,女,轻,132:690:630:497:39:839:276:162:726:459:859:63:921:653:211:32:898:913:910:883:473:987:108,9.0:23.0:8.0:242.0:67.0:16.0:219.0:9.0:10.0:98.0:13.0:10.0:10.0:9.0:183.0:74.0:58.0:30.0:10.0:243.0:10.0:40.0:100.0,9.0:23.0:9.0:242.0:67.0:16.0:219.0:9.0:10.0:98.0:13.0:10.0:10.0:9.0:190.0:72.0:54.0:30.0:10.0:247.0:10.0:39.0:100.0
500,501,27,女,轻,669:879:444:620:74:946:622:3:815:120:94:929:122:100:814:112:106:924:194,11.0:137.0:269.0:9.0:48.0:12.0:9.0:100.0:48.0:9.0:80.0:63.0:9.0:10.0:10.0:9.0:10.0:50.0:300.0,10.0:184.0:260.0:9.0:76.0:30.0:9.0:58.0:23.0:9.0:95.0:31.0:9.0:10.0:10.0:9.0:10.0:40.0:415.0
501,502,37,女,轻,813:831:939:930:868:877:871:933:655:624:474:917:908:51:9:116:113:175:238:300:98:807,10.0:33.0:37.0:18.0:10.0:55.0:244.0:10.0:9.0:9.0:292.0:10.0:40.0:80.0:71.0:9.0:9.0:9.0:198.0:180.0:101.0:10.0,10.0:33.0:37.0:18.0:10.0:48.0:251.0:10.0:9.0:9.0:292.0:10.0:40.0:79.0:70.0:9.0:9.0:9.0:198.0:180.0:100.0:10.0
502,503,37,女,重,129:94:292:932:916:444:763:858:870:456:189:120:1024:733:667:868:923:185:130:936:30:56:658,56.0:100.0:10.0:71.0:26.0:150.0:9.0:9.0:300.0:200.0:242.0:25.0:39.0:136.0:89.0:70.0:14.0:247.0:9.0:9.0:107.0:42.0:9.0,9.0:100.0:9.0:14.0:10.0:10.0:10.0:10.0:300.0:341.0:480.0:9.0:10.0:10.0:31.0:10.0:40.0:9.0:9.0:37.0:140.0:9.0:9.0
503,504,20,女,重,466:703:923:824:621:823:6:708:247:818:222:106:98:573:297:667:128:123:966:967:900,340.0:10.0:40.0:10.0:10.0:10.0:92.0:10.0:162.0:25.0:58.0:148.0:10.0:10.0:203.0:10.0:15.0:10.0:61.0:10.0:181.0,107.0:9.0:39.0:10.0:10.0:10.0:50.0:10.0:125.0:22.0:159.0:10.0:190.0:181.0:199.0:10.0:15.0:10.0:20.0:21.0:300.0
