ID,Uid,age,sex,labor,repic_sid,best_weight,last_weight
379,380,22,男,中,453:640:94:911:653:64:311:221:104:143:36:870:139:466:929:879:569:140:97:620:696:760:835,252.0:14.0:54.0:50.0:9.0:113.0:199.0:172.0:22.0:9.0:36.0:95.0:25.0:10.0:68.0:206.0:88.0:9.0:22.0:51.0:11.0:53.0:10.0,10.0:9.0:81.0:44.0:9.0:133.0:186.0:161.0:11.0:9.0:18.0:47.0:9.0:331.0:40.0:252.0:10.0:9.0:11.0:9.0:31.0:14.0:10.0
380,381,19,男,轻,2:738:948:717:1012:908:881:706:872:890:932:194:652:666:654:824:822:94:126:115:112:541,150.0:10.0:29.0:35.0:10.0:39.0:52.0:10.0:52.0:198.0:10.0:300.0:9.0:9.0:9.0:10.0:10.0:101.0:9.0:9.0:9.0:284.0,150.0:10.0:29.0:10.0:31.0:40.0:30.0:10.0:108.0:160.0:10.0:403.0:9.0:9.0:9.0:27.0:10.0:100.0:9.0:9.0:9.0:350.0
381,382,34,男,重,888:120:908:95:629:558:870:915:767:134:52:462:96:753:809:922:178:811:698:856:874:190:1014:957,118.0:109.0:9.0:10.0:154.0:129.0:89.0:9.0:9.0:9.0:148.0:244.0:93.0:9.0:9.0:101.0:81.0:112.0:9.0:9.0:93.0:388.0:65.0:10.0,280.0:9.0:10.0:10.0:9.0:162.0:9.0:10.0:25.0:9.0:154.0:187.0:90.0:10.0:10.0:30.0:9.0:10.0:10.0:10.0:9.0:399.0:21.0:31.0
382,383,24,男,中,871:94:461:9:24:681:625:1011:919:939:884:667:820:930:912:8:113:129:335,283.0:100.0:269.0:64.0:86.0:10.0:165.0:10.0:10.0:46.0:17.0:25.0:33.0:10.0:40.0:9.0:9.0:9.0:273.0,256.0:100.0:287.0:32.0:18.0:9.0:15.0:10.0:27.0:10.0:45.0:56.0:9.0:40.0:23.0:98.0:10.0:10.0:396.0
383,384,30,女,轻,875:1031:636:668:31:850:106:917:661:111:94:627:948:999:870:7:813:871:669:1:908:909:562:452:112:294:194,50.0:10.0:9.0:10.0:64.0:26.0:34.0:10.0:9.0:32.0:32.0:9.0:30.0:10.0:144.0:34.0:10.0:108.0:10.0:49.0:30.0:10.0:246.0:33.0:9.0:80.0:299.0,49.0:10.0:9.0:10.0:74.0:23.0:35.0:10.0:9.0:33.0:33.0:9.0:26.0:10.0:143.0:30.0:10.0:107.0:10.0:45.0:30.0:10.0:246.0:33.0:9.0:70.0:299.0
384,385,30,男,轻,670:108:876:110:1:20:667:836:879:126:1034:638:94:133:451:2:673:834:471:492:322:911,10.0:46.0:145.0:10.0:44.0:67.0:10.0:10.0:97.0:10.0:64.0:10.0:44.0:10.0:112.0:37.0:15.0:10.0:10.0:146.0:300.0:50.0,10.0:47.0:143.0:11.0:46.0:68.0:10.0:10.0:100.0:10.0:64.0:10.0:45.0:10.0:112.0:38.0:15.0:10.0:10.0:146.0:299.0:50.0
385,386,26,女,轻,947:951:1063:870:898:882:676:675:114:119:626:109:101:55:2:210:227:217:927:914:840:501,10.0:32.0:10.0:68.0:24.0:208.0:15.0:10.0:12.0:12.0:10.0:79.0:23.0:96.0:55.0:83.0:111.0:207.0:10.0:35.0:38.0:212.0,21.0:10.0:27.0:125.0:47.0:125.0:18.0:17.0:10.0:10.0:10.0:10.0:90.0:80.0:70.0:172.0:124.0:141.0:27.0:14.0:23.0:280.0
386,387,28,男,重,50:213:928:829:445:709:908:1:838:718:738:827:601:455:112:152:655:633:641:94:108:1014:876,117.0:459.0:14.0:9.0:10.0:26.0:36.0:35.0:9.0:20.0:9.0:9.0:134.0:205.0:9.0:9.0:24.0:9.0:86.0:91.0:11.0:40.0:296.0,141.0:374.0:38.0:25.0:330.0:10.0:10.0:9.0:10.0:10.0:10.0:10.0:10.0:10.0:9.0:9.0:9.0:9.0:9.0:84.0:16.0:75.0:301.0
387,388,39,女,重,89:870:922:871:120:178:915:74:94:123:872:107:76:108:908:950:972:935:448:705:622:856:815:195,124.0:110.0:44.0:169.0:17.0:9.0:118.0:10.0:94.0:9.0:21.0:37.0:10.0:9.0:59.0:115.0:63.0:9.0:293.0:9.0:92.0:100.0:9.0:300.0,10.0:142.0:22.0:147.0:9.0:9.0:18.0:129.0:9.0:9.0:10.0:82.0:10.0:9.0:10.0:23.0:10.0:23.0:351.0:10.0:9.0:40.0:10.0:415.0
388,389,29,女,重,262:763:870:72:139:185:94:112:631:449:110:809:868:38:4:938:910:913,129.0:10.0:300.0:127.0:19.0:327.0:45.0:9.0:145.0:323.0:56.0:10.0:43.0:11.0:15.0:69.0:9.0:65.0,461.0:10.0:300.0:15.0:10.0:36.0:10.0:10.0:15.0:327.0:92.0:10.0:51.0:114.0:20.0:41.0:10.0:40.0
389,390,28,女,轻,552:870:451:620:818:827:923:872:919:927:871:940:976:128:2:300:213:94:100:713:670,38.0:122.0:255.0:25.0:10.0:40.0:16.0:10.0:19.0:25.0:168.0:46.0:17.0:10.0:126.0:94.0:309.0:10.0:114.0:10.0:10.0,99.0:10.0:153.0:25.0:45.0:10.0:10.0:274.0:10.0:30.0:14.0:37.0:37.0:10.0:149.0:243.0:184.0:38.0:61.0:10.0:10.0
390,391,27,女,轻,558:680:700:1009:870:899:874:97:94:930:482:103:445:655:653:909:4:193:821:858:124:181,24.0:10.0:10.0:20.0:96.0:74.0:131.0:24.0:24.0:28.0:139.0:54.0:186.0:9.0:9.0:40.0:150.0:423.0:10.0:23.0:9.0:9.0,158.0:10.0:10.0:11.0:195.0:51.0:54.0:10.0:10.0:29.0:99.0:80.0:91.0:9.0:9.0:40.0:149.0:384.0:29.0:10.0:9.0:9.0
